group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,i128,4,,,984300.0,ns,152392
benchmark,i128,4,,,1968400.0,ns,304784
benchmark,i128,4,,,3016200.0,ns,457176
benchmark,i128,4,,,3936800.0,ns,609568
benchmark,i128,4,,,4921000.0,ns,761960
benchmark,i128,4,,,5905200.0,ns,914352
benchmark,i128,4,,,6959200.0,ns,1066744
benchmark,i128,4,,,7873600.0,ns,1219136
benchmark,i128,4,,,8921900.0,ns,1371528
benchmark,i128,4,,,9913900.0,ns,1523920
benchmark,i128,4,,,10826200.0,ns,1676312
benchmark,i128,4,,,11887200.0,ns,1828704
benchmark,i128,4,,,12862000.0,ns,1981096
benchmark,i128,4,,,13833200.0,ns,2133488
benchmark,i128,4,,,14828400.0,ns,2285880
benchmark,i128,4,,,15795900.0,ns,2438272
benchmark,i128,4,,,16795800.0,ns,2590664
benchmark,i128,4,,,17784600.0,ns,2743056
benchmark,i128,4,,,18759700.0,ns,2895448
benchmark,i128,4,,,19737000.0,ns,3047840
benchmark,i128,4,,,20805400.0,ns,3200232
benchmark,i128,4,,,21727600.0,ns,3352624
benchmark,i128,4,,,22776100.0,ns,3505016
benchmark,i128,4,,,23688000.0,ns,3657408
benchmark,i128,4,,,24747500.0,ns,3809800
benchmark,i128,4,,,25660800.0,ns,3962192
benchmark,i128,4,,,26724300.0,ns,4114584
benchmark,i128,4,,,27707900.0,ns,4266976
benchmark,i128,4,,,28704000.0,ns,4419368
benchmark,i128,4,,,29678300.0,ns,4571760
benchmark,i128,4,,,30653500.0,ns,4724152
benchmark,i128,4,,,31636400.0,ns,4876544
benchmark,i128,4,,,32616700.0,ns,5028936
benchmark,i128,4,,,33606500.0,ns,5181328
benchmark,i128,4,,,34600000.0,ns,5333720
benchmark,i128,4,,,35570900.0,ns,5486112
benchmark,i128,4,,,36648500.0,ns,5638504
benchmark,i128,4,,,37671800.0,ns,5790896
benchmark,i128,4,,,38606800.0,ns,5943288
benchmark,i128,4,,,39623500.0,ns,6095680
benchmark,i128,4,,,40825600.0,ns,6248072
benchmark,i128,4,,,41544400.0,ns,6400464
benchmark,i128,4,,,42575400.0,ns,6552856
benchmark,i128,4,,,43556300.0,ns,6705248
benchmark,i128,4,,,44529100.0,ns,6857640
benchmark,i128,4,,,45481800.0,ns,7010032
benchmark,i128,4,,,46453600.0,ns,7162424
benchmark,i128,4,,,47453700.0,ns,7314816
benchmark,i128,4,,,48469300.0,ns,7467208
benchmark,i128,4,,,49448900.0,ns,7619600
benchmark,i128,4,,,50424300.0,ns,7771992
benchmark,i128,4,,,51389100.0,ns,7924384
benchmark,i128,4,,,52445800.0,ns,8076776
benchmark,i128,4,,,53379900.0,ns,8229168
benchmark,i128,4,,,54419900.0,ns,8381560
benchmark,i128,4,,,55339300.0,ns,8533952
benchmark,i128,4,,,56391100.0,ns,8686344
benchmark,i128,4,,,57287500.0,ns,8838736
benchmark,i128,4,,,58352500.0,ns,8991128
benchmark,i128,4,,,59361200.0,ns,9143520
benchmark,i128,4,,,60632800.0,ns,9295912
benchmark,i128,4,,,61371100.0,ns,9448304
benchmark,i128,4,,,62259400.0,ns,9600696
benchmark,i128,4,,,63286100.0,ns,9753088
benchmark,i128,4,,,64264400.0,ns,9905480
benchmark,i128,4,,,65243200.0,ns,10057872
benchmark,i128,4,,,66220100.0,ns,10210264
benchmark,i128,4,,,67284500.0,ns,10362656
benchmark,i128,4,,,68189300.0,ns,10515048
benchmark,i128,4,,,69190500.0,ns,10667440
benchmark,i128,4,,,70247400.0,ns,10819832
benchmark,i128,4,,,71163000.0,ns,10972224
benchmark,i128,4,,,72201800.0,ns,11124616
benchmark,i128,4,,,73208900.0,ns,11277008
benchmark,i128,4,,,74220200.0,ns,11429400
benchmark,i128,4,,,75690500.0,ns,11581792
benchmark,i128,4,,,76105400.0,ns,11734184
benchmark,i128,4,,,77053400.0,ns,11886576
benchmark,i128,4,,,78102100.0,ns,12038968
benchmark,i128,4,,,79038600.0,ns,12191360
benchmark,i128,4,,,80056300.0,ns,12343752
benchmark,i128,4,,,81126300.0,ns,12496144
benchmark,i128,4,,,82104700.0,ns,12648536
benchmark,i128,4,,,83042800.0,ns,12800928
benchmark,i128,4,,,84025500.0,ns,12953320
benchmark,i128,4,,,85057700.0,ns,13105712
benchmark,i128,4,,,85979500.0,ns,13258104
benchmark,i128,4,,,87349600.0,ns,13410496
benchmark,i128,4,,,87978100.0,ns,13562888
benchmark,i128,4,,,89017600.0,ns,13715280
benchmark,i128,4,,,89990800.0,ns,13867672
benchmark,i128,4,,,90979800.0,ns,14020064
benchmark,i128,4,,,91962500.0,ns,14172456
benchmark,i128,4,,,92919300.0,ns,14324848
benchmark,i128,4,,,93982800.0,ns,14477240
benchmark,i128,4,,,94923300.0,ns,14629632
benchmark,i128,4,,,95935900.0,ns,14782024
benchmark,i128,4,,,96893900.0,ns,14934416
benchmark,i128,4,,,98201700.0,ns,15086808
benchmark,i128,4,,,98926000.0,ns,15239200
