group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,neg i64,16,,,984900.0,ns,329554
benchmark,neg i64,16,,,1968500.0,ns,659108
benchmark,neg i64,16,,,2952500.0,ns,988662
benchmark,neg i64,16,,,4012200.0,ns,1318216
benchmark,neg i64,16,,,4920600.0,ns,1647770
benchmark,neg i64,16,,,5905300.0,ns,1977324
benchmark,neg i64,16,,,6956800.0,ns,2306878
benchmark,neg i64,16,,,7873000.0,ns,2636432
benchmark,neg i64,16,,,8933200.0,ns,2965986
benchmark,neg i64,16,,,9841100.0,ns,3295540
benchmark,neg i64,16,,,10895200.0,ns,3625094
benchmark,neg i64,16,,,11899000.0,ns,3954648
benchmark,neg i64,16,,,12858300.0,ns,4284202
benchmark,neg i64,16,,,13847400.0,ns,4613756
benchmark,neg i64,16,,,14826000.0,ns,4943310
benchmark,neg i64,16,,,15813800.0,ns,5272864
benchmark,neg i64,16,,,16801300.0,ns,5602418
benchmark,neg i64,16,,,17807000.0,ns,5931972
benchmark,neg i64,16,,,18766400.0,ns,6261526
benchmark,neg i64,16,,,19760600.0,ns,6591080
benchmark,neg i64,16,,,20811100.0,ns,6920634
benchmark,neg i64,16,,,21757000.0,ns,7250188
benchmark,neg i64,16,,,22700900.0,ns,7579742
benchmark,neg i64,16,,,23757300.0,ns,7909296
benchmark,neg i64,16,,,24674400.0,ns,8238850
benchmark,neg i64,16,,,25724300.0,ns,8568404
benchmark,neg i64,16,,,26716900.0,ns,8897958
benchmark,neg i64,16,,,27725400.0,ns,9227512
benchmark,neg i64,16,,,28618100.0,ns,9557066
benchmark,neg i64,16,,,29677600.0,ns,9886620
benchmark,neg i64,16,,,30650100.0,ns,10216174
benchmark,neg i64,16,,,31635100.0,ns,10545728
benchmark,neg i64,16,,,32619300.0,ns,10875282
benchmark,neg i64,16,,,33687400.0,ns,11204836
benchmark,neg i64,16,,,34662600.0,ns,11534390
benchmark,neg i64,16,,,35591000.0,ns,11863944
benchmark,neg i64,16,,,36552500.0,ns,12193498
benchmark,neg i64,16,,,37619500.0,ns,12523052
benchmark,neg i64,16,,,38522700.0,ns,12852606
benchmark,neg i64,16,,,39592100.0,ns,13182160
benchmark,neg i64,16,,,40494200.0,ns,13511714
benchmark,neg i64,16,,,41547000.0,ns,13841268
benchmark,neg i64,16,,,42559200.0,ns,14170822
benchmark,neg i64,16,,,43645700.0,ns,14500376
benchmark,neg i64,16,,,44654000.0,ns,14829930
benchmark,neg i64,16,,,45520000.0,ns,15159484
benchmark,neg i64,16,,,46471500.0,ns,15489038
benchmark,neg i64,16,,,47465100.0,ns,15818592
benchmark,neg i64,16,,,48432800.0,ns,16148146
benchmark,neg i64,16,,,49432400.0,ns,16477700
benchmark,neg i64,16,,,50435100.0,ns,16807254
benchmark,neg i64,16,,,51407500.0,ns,17136808
benchmark,neg i64,16,,,52325700.0,ns,17466362
benchmark,neg i64,16,,,53378400.0,ns,17795916
benchmark,neg i64,16,,,54634800.0,ns,18125470
benchmark,neg i64,16,,,55344500.0,ns,18455024
benchmark,neg i64,16,,,56408800.0,ns,18784578
benchmark,neg i64,16,,,57410000.0,ns,19114132
benchmark,neg i64,16,,,58302000.0,ns,19443686
benchmark,neg i64,16,,,59337200.0,ns,19773240
benchmark,neg i64,16,,,60318000.0,ns,20102794
benchmark,neg i64,16,,,61325000.0,ns,20432348
benchmark,neg i64,16,,,62293600.0,ns,20761902
benchmark,neg i64,16,,,63695000.0,ns,21091456
benchmark,neg i64,16,,,64222100.0,ns,21421010
benchmark,neg i64,16,,,65225000.0,ns,21750564
benchmark,neg i64,16,,,66473200.0,ns,22080118
benchmark,neg i64,16,,,67184700.0,ns,22409672
benchmark,neg i64,16,,,68151400.0,ns,22739226
benchmark,neg i64,16,,,69186600.0,ns,23068780
benchmark,neg i64,16,,,70131400.0,ns,23398334
benchmark,neg i64,16,,,71242200.0,ns,23727888
benchmark,neg i64,16,,,72115400.0,ns,24057442
benchmark,neg i64,16,,,73248700.0,ns,24386996
benchmark,neg i64,16,,,74119700.0,ns,24716550
benchmark,neg i64,16,,,75099400.0,ns,25046104
benchmark,neg i64,16,,,76133400.0,ns,25375658
benchmark,neg i64,16,,,77456400.0,ns,25705212
benchmark,neg i64,16,,,78166700.0,ns,26034766
benchmark,neg i64,16,,,79184000.0,ns,26364320
benchmark,neg i64,16,,,80093100.0,ns,26693874
benchmark,neg i64,16,,,81069800.0,ns,27023428
benchmark,neg i64,16,,,82068000.0,ns,27352982
benchmark,neg i64,16,,,83056200.0,ns,27682536
benchmark,neg i64,16,,,84071800.0,ns,28012090
benchmark,neg i64,16,,,84970200.0,ns,28341644
benchmark,neg i64,16,,,86022900.0,ns,28671198
benchmark,neg i64,16,,,86934200.0,ns,29000752
benchmark,neg i64,16,,,88054300.0,ns,29330306
benchmark,neg i64,16,,,89404300.0,ns,29659860
benchmark,neg i64,16,,,89931300.0,ns,29989414
benchmark,neg i64,16,,,90988100.0,ns,30318968
benchmark,neg i64,16,,,91967800.0,ns,30648522
benchmark,neg i64,16,,,92952000.0,ns,30978076
benchmark,neg i64,16,,,93922400.0,ns,31307630
benchmark,neg i64,16,,,94910900.0,ns,31637184
benchmark,neg i64,16,,,95901100.0,ns,31966738
benchmark,neg i64,16,,,96961200.0,ns,32296292
benchmark,neg i64,16,,,97850900.0,ns,32625846
benchmark,neg i64,16,,,98955700.0,ns,32955400
