group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,std neg i64,7,,,983400.0,ns,157321
benchmark,std neg i64,7,,,2036600.0,ns,314642
benchmark,std neg i64,7,,,2949800.0,ns,471963
benchmark,std neg i64,7,,,3933100.0,ns,629284
benchmark,std neg i64,7,,,4916300.0,ns,786605
benchmark,std neg i64,7,,,5970300.0,ns,943926
benchmark,std neg i64,7,,,6882800.0,ns,1101247
benchmark,std neg i64,7,,,7929800.0,ns,1258568
benchmark,std neg i64,7,,,8849300.0,ns,1415889
benchmark,std neg i64,7,,,9904100.0,ns,1573210
benchmark,std neg i64,7,,,11008200.0,ns,1730531
benchmark,std neg i64,7,,,11840900.0,ns,1887852
benchmark,std neg i64,7,,,12850200.0,ns,2045173
benchmark,std neg i64,7,,,13879400.0,ns,2202494
benchmark,std neg i64,7,,,14829500.0,ns,2359815
benchmark,std neg i64,7,,,15801500.0,ns,2517136
benchmark,std neg i64,7,,,16789300.0,ns,2674457
benchmark,std neg i64,7,,,17775800.0,ns,2831778
benchmark,std neg i64,7,,,18755700.0,ns,2989099
benchmark,std neg i64,7,,,19812800.0,ns,3146420
benchmark,std neg i64,7,,,20774900.0,ns,3303741
benchmark,std neg i64,7,,,21713200.0,ns,3461062
benchmark,std neg i64,7,,,22795800.0,ns,3618383
benchmark,std neg i64,7,,,23679000.0,ns,3775704
benchmark,std neg i64,7,,,24773600.0,ns,3933025
benchmark,std neg i64,7,,,25714500.0,ns,4090346
benchmark,std neg i64,7,,,26614200.0,ns,4247667
benchmark,std neg i64,7,,,27689200.0,ns,4404988
benchmark,std neg i64,7,,,29018200.0,ns,4562309
benchmark,std neg i64,7,,,29667200.0,ns,4719630
benchmark,std neg i64,7,,,30700700.0,ns,4876951
benchmark,std neg i64,7,,,31664100.0,ns,5034272
benchmark,std neg i64,7,,,32584300.0,ns,5191593
benchmark,std neg i64,7,,,33637600.0,ns,5348914
benchmark,std neg i64,7,,,34734300.0,ns,5506235
benchmark,std neg i64,7,,,35560500.0,ns,5663556
benchmark,std neg i64,7,,,36535200.0,ns,5820877
