group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,std neg i64,16,,,987700.0,ns,57747
benchmark,std neg i64,16,,,1967100.0,ns,115494
benchmark,std neg i64,16,,,2995700.0,ns,173241
benchmark,std neg i64,16,,,3994200.0,ns,230988
benchmark,std neg i64,16,,,4992700.0,ns,288735
benchmark,std neg i64,16,,,6017200.0,ns,346482
benchmark,std neg i64,16,,,6905600.0,ns,404229
benchmark,std neg i64,16,,,8061400.0,ns,461976
benchmark,std neg i64,16,,,9257100.0,ns,519723
benchmark,std neg i64,16,,,10006900.0,ns,577470
benchmark,std neg i64,16,,,11049000.0,ns,635217
benchmark,std neg i64,16,,,11838200.0,ns,692964
benchmark,std neg i64,16,,,12898300.0,ns,750711
benchmark,std neg i64,16,,,13948200.0,ns,808458
benchmark,std neg i64,16,,,14957300.0,ns,866205
benchmark,std neg i64,16,,,15659500.0,ns,923952
benchmark,std neg i64,16,,,16843800.0,ns,981699
benchmark,std neg i64,16,,,17902500.0,ns,1039446
benchmark,std neg i64,16,,,18865200.0,ns,1097193
benchmark,std neg i64,16,,,19914400.0,ns,1154940
benchmark,std neg i64,16,,,20944700.0,ns,1212687
benchmark,std neg i64,16,,,21923400.0,ns,1270434
benchmark,std neg i64,16,,,22737900.0,ns,1328181
benchmark,std neg i64,16,,,23615400.0,ns,1385928
benchmark,std neg i64,16,,,24997500.0,ns,1443675
benchmark,std neg i64,16,,,25764000.0,ns,1501422
benchmark,std neg i64,16,,,26689900.0,ns,1559169
benchmark,std neg i64,16,,,27786300.0,ns,1616916
benchmark,std neg i64,16,,,28758400.0,ns,1674663
benchmark,std neg i64,16,,,29849000.0,ns,1732410
benchmark,std neg i64,16,,,30559900.0,ns,1790157
benchmark,std neg i64,16,,,31640400.0,ns,1847904
benchmark,std neg i64,16,,,32691400.0,ns,1905651
benchmark,std neg i64,16,,,33561300.0,ns,1963398
benchmark,std neg i64,16,,,34593900.0,ns,2021145
benchmark,std neg i64,16,,,35705800.0,ns,2078892
benchmark,std neg i64,16,,,36630300.0,ns,2136639
benchmark,std neg i64,16,,,37515600.0,ns,2194386
benchmark,std neg i64,16,,,38646500.0,ns,2252133
benchmark,std neg i64,16,,,39494700.0,ns,2309880
benchmark,std neg i64,16,,,40659600.0,ns,2367627
benchmark,std neg i64,16,,,41698600.0,ns,2425374
benchmark,std neg i64,16,,,42617500.0,ns,2483121
benchmark,std neg i64,16,,,43508700.0,ns,2540868
benchmark,std neg i64,16,,,44761100.0,ns,2598615
benchmark,std neg i64,16,,,45711500.0,ns,2656362
benchmark,std neg i64,16,,,46612100.0,ns,2714109
benchmark,std neg i64,16,,,47653200.0,ns,2771856
benchmark,std neg i64,16,,,48388500.0,ns,2829603
benchmark,std neg i64,16,,,49332200.0,ns,2887350
benchmark,std neg i64,16,,,50522300.0,ns,2945097
benchmark,std neg i64,16,,,51731000.0,ns,3002844
benchmark,std neg i64,16,,,52546900.0,ns,3060591
benchmark,std neg i64,16,,,53496100.0,ns,3118338
benchmark,std neg i64,16,,,54278300.0,ns,3176085
benchmark,std neg i64,16,,,55087100.0,ns,3233832
benchmark,std neg i64,16,,,56473700.0,ns,3291579
benchmark,std neg i64,16,,,57511900.0,ns,3349326
benchmark,std neg i64,16,,,58211200.0,ns,3407073
benchmark,std neg i64,16,,,59245400.0,ns,3464820
benchmark,std neg i64,16,,,60558000.0,ns,3522567
benchmark,std neg i64,16,,,61254200.0,ns,3580314
benchmark,std neg i64,16,,,62400000.0,ns,3638061
benchmark,std neg i64,16,,,63555000.0,ns,3695808
benchmark,std neg i64,16,,,64537000.0,ns,3753555
benchmark,std neg i64,16,,,65484500.0,ns,3811302
benchmark,std neg i64,16,,,66410600.0,ns,3869049
benchmark,std neg i64,16,,,67483300.0,ns,3926796
benchmark,std neg i64,16,,,68642400.0,ns,3984543
benchmark,std neg i64,16,,,69459200.0,ns,4042290
benchmark,std neg i64,16,,,69984500.0,ns,4100037
benchmark,std neg i64,16,,,71298200.0,ns,4157784
